id,name,category,repo,path,url,description,form,lang,required_capabilities,license,license_scope,repo_license,license_conflict,capabilities,repo_stars,stars_scope,path_last_commit,stale,checked_at,audit_level,audit_verdict
hf-vision-trainer,HuggingFace Vision Trainer,model_training_finetuning,huggingface/skills,skills/huggingface-vision-trainer,https://github.com/huggingface/skills/tree/HEAD/skills/huggingface-vision-trainer,"Trains and fine-tunes detection, classification, and SAM/SAM2 segmentation models on Hugging Face Jobs cloud GPUs.",skill,en,creds|net,Apache-2.0,repo_fallback,Apache-2.0,False,"[{'flag': 'net', 'polarity': 'required', 'rule_id': 'net.hub', 'evidence_file': 'SKILL.md', 'evidence_line': 73, 'evidence': '- **Hub push must be enabled** — `push_to_hub=True`, `hub_model_id=""username/model-name""`, token in `secrets`'}, {'flag': 'creds', 'polarity': 'required', 'rule_id': 'creds.envvar', 'evidence_file': 'SKILL.md', 'evidence_line': 198, 'evidence': 'hf_jobs(""uv"", {""script"": training_script_content, ""flavor"": ""a10g-large"", ""timeout"": ""4h"", ""secrets"": {""HF_TOKEN"": ""$HF_TOKEN""}})'}]",11019,monorepo_subpath_not_attributable,2026-03-23,False,2026-09-04,static,
hf-llm-trainer,HuggingFace LLM Trainer,model_training_finetuning,huggingface/skills,skills/huggingface-llm-trainer,https://github.com/huggingface/skills/tree/HEAD/skills/huggingface-llm-trainer,"Fine-tunes language and vision-language models via TRL or Unsloth on Hugging Face Jobs, covering SFT, DPO, GRPO, and reward modeling.",skill,en,creds|external|net,Apache-2.0,repo_fallback,Apache-2.0,False,"[{'flag': 'net', 'polarity': 'required', 'rule_id': 'net.hub', 'evidence_file': 'SKILL.md', 'evidence_line': 89, 'evidence': '- **Hub push must be enabled** - Config: `push_to_hub=True`, `hub_model_id=""username/model-name""`; Job: `secrets={""HF_TOKEN"": ""$HF_TOKEN""}`'}, {'flag': 'creds', 'polarity': 'required', 'rule_id': 'creds.envvar', 'evidence_file': 'SKILL.md', 'evidence_line': 76, 'evidence': '- **HF_TOKEN for Hub Push** ⚠️ CRITICAL - Training environment is ephemeral, must push to Hub or ALL training results are lost'}, {'flag': 'external', 'polarity': 'required', 'rule_id': 'external.mcp', 'evidence_file': 'SKILL.md', 'evidence_line': 668, 'evidence': '3. Verify auth: `mcp__huggingface__hf_whoami()`'}]",11019,monorepo_subpath_not_attributable,2026-07-06,False,2026-09-04,static,
trl-training,TRL Training,model_training_finetuning,huggingface/skills,skills/trl-training,https://github.com/huggingface/skills/tree/HEAD/skills/trl-training,"Fine-tunes transformer language models via the TRL command-line interface, covering SFT, DPO, GRPO, KTO, RLOO, and reward modeling.",skill,en,creds|net,Apache-2.0,declared_in_skill_frontmatter,Apache-2.0,False,"[{'flag': 'net', 'polarity': 'required', 'rule_id': 'net.hub', 'evidence_file': 'SKILL.md', 'evidence_line': 51, 'evidence': '--push_to_hub'}]",11019,monorepo_subpath_not_attributable,2026-08-03,False,2026-09-04,static,
train-sentence-transformers,Train Sentence Transformers,model_training_finetuning,huggingface/skills,skills/train-sentence-transformers,https://github.com/huggingface/skills/tree/HEAD/skills/train-sentence-transformers,"Trains bi-encoder, cross-encoder, and SPLADE sparse embedding models with the sentence-transformers library.",skill,en,creds|net,Apache-2.0,repo_fallback,Apache-2.0,False,"[{'flag': 'net', 'polarity': 'required', 'rule_id': 'net.fetch', 'evidence_file': 'SKILL.md', 'evidence_line': 82, 'evidence': ""- Silence `httpx`, `httpcore`, `huggingface_hub`, `urllib3`, `filelock`, `fsspec` to WARNING (otherwise HF download URLs flood the agent's context).""}, {'flag': 'creds', 'polarity': 'required', 'rule_id': 'creds.envvar', 'evidence_file': 'SKILL.md', 'evidence_line': 106, 'evidence': 'hf auth login                                          # or set HF_TOKEN with write scope (for Hub push)'}]",11019,monorepo_subpath_not_attributable,2026-08-18,False,2026-09-04,static,
nvidia-tao-finetune-hf,NVIDIA TAO Finetune HuggingFace Model,model_training_finetuning,NVIDIA/skills,skills/tao-finetune-huggingface-model,https://github.com/NVIDIA/skills/tree/HEAD/skills/tao-finetune-huggingface-model,Fine-tunes a Hugging Face model using the NVIDIA TAO Toolkit's optimized training and export path.,skill,en,creds|external|net,Apache-2.0,repo_fallback,Apache-2.0,False,"[{'flag': 'net', 'polarity': 'required', 'rule_id': 'net.hub', 'evidence_file': 'SKILL.md', 'evidence_line': 109, 'evidence': '- `push_to_hub=True` — set to `False` to skip'}, {'flag': 'creds', 'polarity': 'required', 'rule_id': 'creds.envvar', 'evidence_file': 'SKILL.md', 'evidence_line': 94, 'evidence': '- `WANDB_API_KEY`, `WANDB_PROJECT` — only when WandB is enabled; `WANDB_MODE=disabled` opts out.'}, {'flag': 'external', 'polarity': 'required', 'rule_id': 'external.docker', 'evidence_file': 'SKILL.md', 'evidence_line': 131, 'evidence': '| `docker run` flags, NGC auth, mounts, env passthrough | [`tao-skill-bank:tao-run-on-docker`](../../platform/tao-run-on-docker/SKILL.md) |'}]",3204,monorepo_subpath_not_attributable,2026-09-01,False,2026-09-04,static,
libreyolo-verify-training,LibreYOLO Verify Training,experiment_repro,LibreYOLO/libreyolo,skills/libreyolo-verify-training,https://github.com/LibreYOLO/libreyolo/tree/HEAD/skills/libreyolo-verify-training,"Verifies a LibreYOLO training run's config, dataset, and metrics against project conventions before a checkpoint is trusted.",skill,en,creds,unverified,repo_fallback,unverified,False,"[{'flag': 'creds', 'polarity': 'required', 'rule_id': 'creds.envvar', 'evidence_file': 'SKILL.md', 'evidence_line': 65, 'evidence': 'suite (needs `ROBOFLOW_API_KEY`). This is the ""does it fine-tune well, not'}]",633,monorepo_subpath_not_attributable,2026-08-08,False,2026-09-04,static,
wenxian,Wenxian,lit_review,njzjz/wenxian,skill,https://github.com/njzjz/wenxian/tree/HEAD/skill,"Generates a BibTeX entry from a DOI, PMID, arXiv ID, or paper title by querying CrossRef, PubMed, arXiv, Semantic Scholar, and ChemRxiv.",skill,en,net,LGPL-3.0,declared_in_skill_frontmatter,LGPL-3.0,False,"[{'flag': 'net', 'polarity': 'required', 'rule_id': 'net.fetch', 'evidence_file': 'SKILL.md', 'evidence_line': 41, 'evidence': 'curl -LsSf https://astral.sh/uv/install.sh | sh'}]",17,monorepo_subpath_not_attributable,2026-02-15,False,2026-09-04,static,
paper2code,Paper2Code,experiment_repro,PrathamLearnsToCode/paper2code,skills/paper2code,https://github.com/PrathamLearnsToCode/paper2code/tree/HEAD/skills/paper2code,"Turns an arXiv paper into a citation-anchored Python implementation, tagging each module to the paper section it implements and flagging rather than guessing at ambiguities.",skill,en,,MIT,repo_fallback,MIT,False,[],1517,monorepo_subpath_not_attributable,2026-04-03,False,2026-09-04,static,
benchmark-research-skill,Benchmark Research Skill,experiment_repro,eternalwavee/benchmark-research-skill,,https://github.com/eternalwavee/benchmark-research-skill,"Surveys papers in a research direction to extract the benchmarks, datasets, metrics, and evaluation protocols in common use, or extracts them from a single given paper.",skill,en,,MIT,license_file_in_skill_dir,MIT,False,[],37,whole_repo_is_skill,2026-04-24,False,2026-09-04,static,
figures4papers,Figures4Papers,ml_plotting,ChenLiu-1996/figures4papers,scientific-figure-making,https://github.com/ChenLiu-1996/figures4papers/tree/HEAD/scientific-figure-making,"Produces publication-ready matplotlib figures — bar, trend, scatter, heatmap, and multi-panel layouts — in a fixed house style with print/vector export conventions for AI conference and journal submissions.",skill,en,,unverified,repo_fallback,unverified,False,[],4439,monorepo_subpath_not_attributable,2026-06-24,False,2026-09-04,static,
nature-figure,Nature Figure,ml_plotting,Yuan1z0825/nature-skills,skills/nature-figure,https://github.com/Yuan1z0825/nature-skills/tree/HEAD/skills/nature-figure,"Creates, revises, and audits submission-grade scientific figures for high-impact venues in Python or R, with multi-panel support and journal-ready export.",skill,en,net,Apache-2.0,repo_fallback,Apache-2.0,False,[],39205,monorepo_subpath_not_attributable,2026-08-27,False,2026-09-04,static,
nature-citation,Nature Citation,lit_review,Yuan1z0825/nature-skills,skills/nature-citation,https://github.com/Yuan1z0825/nature-skills/tree/HEAD/skills/nature-citation,"Adds citations to manuscript text by searching only Nature Portfolio, AAAS Science, and Cell Press titles, filtered by date, and exports a single reference-manager file.",skill,en,net,Apache-2.0,repo_fallback,Apache-2.0,False,[],39205,monorepo_subpath_not_attributable,2026-08-03,False,2026-09-04,static,
nature-paper-card,Nature Paper Card,lit_review,Yuan1z0825/nature-skills,skills/nature-paper-card,https://github.com/Yuan1z0825/nature-skills/tree/HEAD/skills/nature-paper-card,"Structures a deep reading of one scientific paper into a fixed 16-section, evidence-grounded research card.",skill,en,,Apache-2.0,repo_fallback,Apache-2.0,False,[],39205,monorepo_subpath_not_attributable,2026-08-03,False,2026-09-04,static,
nature-experiment-log,Nature Experiment Log,experiment_repro,Yuan1z0825/nature-skills,skills/nature-experiment-log,https://github.com/Yuan1z0825/nature-skills/tree/HEAD/skills/nature-experiment-log,"Standardizes lab experiment logging from photos, voice, or text into YAML-frontmattered Markdown written to a plain local folder, with optional Obsidian vault and Feishu integrations.",skill,en,net,MIT,declared_in_skill_frontmatter,Apache-2.0,True,[],39205,monorepo_subpath_not_attributable,2026-08-03,False,2026-09-04,static,
nature-literature-pipeline,Nature Literature Pipeline,lit_review,Yuan1z0825/nature-skills,skills/nature-literature-pipeline,https://github.com/Yuan1z0825/nature-skills/tree/HEAD/skills/nature-literature-pipeline,"Searches multiple literature sources, scores candidates across six dimensions, delivers digests, and archives results with deduplication.",skill,en,net,MIT,declared_in_skill_frontmatter,Apache-2.0,True,[],39205,monorepo_subpath_not_attributable,2026-08-03,False,2026-09-04,static,
academic-paper-reviewer,Academic Paper Reviewer,peer_review_rebuttal,Imbad0202/academic-research-skills,academic-paper-reviewer,https://github.com/Imbad0202/academic-research-skills/tree/HEAD/academic-paper-reviewer,"Simulates a five-person international journal peer-review panel with field-specific reviewer personas, producing structured editorial decisions and revision roadmaps.",skill,en,hooks,unverified,repo_fallback,unverified,False,"[{'flag': 'hooks', 'polarity': 'required', 'rule_id': 'hooks.config', 'evidence_file': 'SKILL.md', 'evidence_line': 238, 'evidence': '**Enforcement (v3.9.2):** Phase Boundary blocks on Bucket A agents + advisory verifier (`scripts/check_pipeline_integrity.py`) + a deterministic PreToolUse writ'}]",46277,monorepo_subpath_not_attributable,2026-08-20,False,2026-09-04,static,
research-paper-writing-skills,Research Paper Writing Skills,writing_submission,Master-cai/Research-Paper-Writing-Skills,research-paper-writing,https://github.com/Master-cai/Research-Paper-Writing-Skills/tree/HEAD/research-paper-writing,"Guides revision of ML/CV/NLP papers with paragraph-level clarity checks, reverse outlining, topic-sentence mapping, and claim-evidence alignment audits.",skill,en,,MIT,repo_fallback,MIT,False,[],6544,monorepo_subpath_not_attributable,2026-06-20,False,2026-09-04,static,
notebooklm-skill,NotebookLM Skill,lit_review,pleaseprompto/notebooklm-skill,,https://github.com/pleaseprompto/notebooklm-skill,"Queries Google NotebookLM notebooks from Claude Code for citation-backed, source-grounded answers via browser automation.",skill,en,creds|net,MIT,license_file_in_skill_dir,MIT,False,[],7751,whole_repo_is_skill,2025-11-21,False,2026-09-04,static,
ccf-paper-writer,CCF Paper Writer,writing_submission,mikubaka88/CCFA-Skills,ccf-paper-writer,https://github.com/mikubaka88/CCFA-Skills/tree/HEAD/ccf-paper-writer,"Plans, drafts, revises, and venue-adapts research paper text for CCF-ranked venues while preserving the user's own idea scope and evidence.",skill,en,,MIT,repo_fallback,MIT,False,[],2107,monorepo_subpath_not_attributable,2026-08-12,False,2026-09-04,static,
ccf-paper-reviewer,CCF Paper Reviewer,peer_review_rebuttal,mikubaka88/CCFA-Skills,ccf-paper-reviewer,https://github.com/mikubaka88/CCFA-Skills/tree/HEAD/ccf-paper-reviewer,"Reviews a manuscript against CCF/target-venue criteria across novelty, soundness, evidence, writing quality, and format compliance, simulating a reviewer/AC panel.",skill,en,,MIT,repo_fallback,MIT,False,[],2107,monorepo_subpath_not_attributable,2026-08-12,False,2026-09-04,static,
ccf-literature-monitor,CCF Literature Monitor,lit_review,mikubaka88/CCFA-Skills,ccf-literature-monitor,https://github.com/mikubaka88/CCFA-Skills/tree/HEAD/ccf-literature-monitor,"Monitors arXiv, OpenReview, and conference feeds for papers overlapping with a given research idea, producing actionable relax/research/follow-up signals.",skill,en,net,MIT,repo_fallback,MIT,False,[],2107,monorepo_subpath_not_attributable,2026-06-09,False,2026-09-04,static,
ccf-experiment-designer,CCF Experiment Designer,experiment_repro,mikubaka88/CCFA-Skills,ccf-experiment-designer,https://github.com/mikubaka88/CCFA-Skills/tree/HEAD/ccf-experiment-designer,"Designs an evidence package for a CCF-venue paper, covering datasets, baselines, metrics, and ablations.",skill,en,,MIT,repo_fallback,MIT,False,[],2107,monorepo_subpath_not_attributable,2026-08-12,False,2026-09-04,static,
cnki-skills,CNKI Skills,lit_review,cookjohn/cnki-skills,skills/cnki-search,https://github.com/cookjohn/cnki-skills/tree/HEAD/skills/cnki-search,"Searches and extracts metadata from CNKI, China's primary academic database, via Chrome DevTools browser automation.",suite,zh,external|net,unverified,repo_fallback,unverified,False,"[{'flag': 'external', 'polarity': 'required', 'rule_id': 'external.mcp', 'evidence_file': 'SKILL.md', 'evidence_line': 19, 'evidence': 'Use `mcp__chrome-devtools__navigate_page` → `https://kns.cnki.net/kns8s/search`'}]",895,monorepo_subpath_not_attributable,2026-02-28,False,2026-09-04,static,
dailypaper-paper-reader,Daily Paper Reader,lit_review,huangkiki/dailypaper-skills,skills/paper-reader,https://github.com/huangkiki/dailypaper-skills/tree/HEAD/skills/paper-reader,"Reads and analyzes academic papers from PDF, arXiv, or Zotero, generating structured notes with figures, formulas, and concept links.",skill,en,,Apache-2.0,repo_fallback,Apache-2.0,False,[],1201,monorepo_subpath_not_attributable,2026-07-10,False,2026-09-04,static,
dailypaper-daily-papers,Daily Papers,lit_review,huangkiki/dailypaper-skills,skills/daily-papers,https://github.com/huangkiki/dailypaper-skills/tree/HEAD/skills/daily-papers,"Automates a daily paper-recommendation pipeline — fetch, review, and note-taking — for keeping up with recent AI research.",skill,en,net,Apache-2.0,repo_fallback,Apache-2.0,False,[],1201,monorepo_subpath_not_attributable,2026-07-10,False,2026-09-04,static,
paper-analyzer,Paper Analyzer,lit_review,zsyggg/paper-craft-skills,skills/paper-analyzer,https://github.com/zsyggg/paper-craft-skills/tree/HEAD/skills/paper-analyzer,"Converts an academic paper into a detailed HTML article via a six-round workflow with code search, formula rendering, and diagrams.",skill,en,net,unverified,repo_fallback,unverified,False,[],1129,monorepo_subpath_not_attributable,2026-05-21,False,2026-09-04,static,
paper-lifecycle-review-revision,Paper Lifecycle: Review & Revision,peer_review_rebuttal,M1n-n9/paper-lifecycle,review-revision,https://github.com/M1n-n9/paper-lifecycle/tree/HEAD/review-revision,Structured review and revision workflow for academic manuscripts with six operating modes scaled to effort level.,skill,en,,unverified,repo_fallback,unverified,False,[],664,monorepo_subpath_not_attributable,2026-06-16,False,2026-09-04,static,
paper-lifecycle-rebuttal-response,Paper Lifecycle: Rebuttal Response,peer_review_rebuttal,M1n-n9/paper-lifecycle,rebuttal-response,https://github.com/M1n-n9/paper-lifecycle/tree/HEAD/rebuttal-response,"Converts peer reviews into evidence-based rebuttal packages through triage, strategy, drafting, and tone-repair modes.",skill,en,,unverified,repo_fallback,unverified,False,[],664,monorepo_subpath_not_attributable,2026-06-16,False,2026-09-04,static,
paperorchestra-outline-agent,PaperOrchestra: Outline Agent,writing_submission,Ar9av/PaperOrchestra,skills/outline-agent,https://github.com/Ar9av/PaperOrchestra/tree/HEAD/skills/outline-agent,"Converts raw research materials into a structured outline with a plotting plan, literature-search plan, and section plan for academic paper writing.",skill,en,,unverified,repo_fallback,unverified,False,[],650,monorepo_subpath_not_attributable,2026-06-02,False,2026-09-04,static,
paperorchestra-plotting-agent,PaperOrchestra: Plotting Agent,ml_plotting,Ar9av/PaperOrchestra,skills/plotting-agent,https://github.com/Ar9av/PaperOrchestra/tree/HEAD/skills/plotting-agent,"Generates publication-quality figures and conceptual diagrams for academic papers from experimental data and an outline, with optional VLM-based critique refinement.",skill,en,net,unverified,repo_fallback,unverified,False,[],650,monorepo_subpath_not_attributable,2026-04-10,False,2026-09-04,static,
paperorchestra-research-aggregator,PaperOrchestra: Agent Research Aggregator,experiment_repro,Ar9av/PaperOrchestra,skills/agent-research-aggregator,https://github.com/Ar9av/PaperOrchestra/tree/HEAD/skills/agent-research-aggregator,Scans AI coding-agent cache directories and extracts numeric experiment results into a structured format.,skill,en,creds,unverified,repo_fallback,unverified,False,[],650,monorepo_subpath_not_attributable,2026-04-17,False,2026-09-04,static,
latex-document-skill,LaTeX Document Skill,writing_submission,ndpvt-web/latex-document-skill,,https://github.com/ndpvt-web/latex-document-skill,"Handles LaTeX document creation, compilation, format conversion, and document analysis for academic writing.",skill,en,,unverified,repo_fallback,unverified,False,[],741,whole_repo_is_skill,2026-09-03,False,2026-09-04,static,
qinyan-citation,Qinyan Citation,lit_review,LeonChaoX/qinyan-academic-skills,skills/沁言学术skills/qinyan-citation,https://github.com/LeonChaoX/qinyan-academic-skills/tree/HEAD/skills/沁言学术skills/qinyan-citation,"Generates formatted academic citations in GB/T 7714, IEEE, APA, MLA, Chicago, Harvard, and Vancouver styles by searching literature through the Qinyan Academic OpenAPI.",skill,zh,creds|net,MIT,repo_fallback,MIT,False,"[{'flag': 'creds', 'polarity': 'required', 'rule_id': 'creds.envvar', 'evidence_file': 'SKILL.md', 'evidence_line': 21, 'evidence': '1. 已设置 `QINYAN_API_KEY` 环境变量（前往 https://platform.qinyanai.com/ 申请）'}]",867,monorepo_subpath_not_attributable,2026-03-13,False,2026-09-04,static,
journal-adapt-writing-skill,Journal Adapt Writing Skill,writing_submission,wantongc/journal-adapt-writing-skill,skill,https://github.com/wantongc/journal-adapt-writing-skill/tree/HEAD/skill,Adapts an academic manuscript to a target journal's writing conventions by analyzing a reference corpus and revising the manuscript section by section.,skill,en,,MIT,repo_fallback,MIT,False,[],770,monorepo_subpath_not_attributable,2026-05-15,False,2026-09-04,static,
phd-skills-debug,PhD Skills: Debug,experiment_repro,fcakyon/phd-skills,plugin/skills/debug,https://github.com/fcakyon/phd-skills/tree/HEAD/plugin/skills/debug,"Diagnoses a failing ML experiment with a five-step evidence-before-action protocol covering process state, GPU, disk, logs, and checkpoints.",skill,en,,MIT,repo_fallback,MIT,False,[],385,monorepo_subpath_not_attributable,2026-04-30,False,2026-09-04,static,
